size,SPD,EOOD,EOOP,DI,ACC,THEIL,SPD_mean,EOOD_mean,EOOP_mean,DI_mean,ACC_mean,THEIL_mean
5%,nan,nan,nan,nan,0.6666666666666666,0.4054651081081644
5%,nan,nan,nan,nan,1.0,0.0
5%,nan,nan,nan,nan,1.0,0.0
5%,nan,nan,nan,nan,1.0,0.0
5%,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,0.9333333333333332,0.08109302162163287
10%,nan,nan,nan,nan,1.0,0.0
10%,nan,nan,nan,nan,0.8333333333333334,0.1823215567939546
10%,nan,nan,nan,nan,0.5,0.6931471805599453
10%,nan,nan,nan,nan,0.8333333333333334,0.1823215567939546
10%,nan,nan,nan,nan,0.8333333333333334,0.1823215567939546,nan,nan,nan,nan,0.8,0.24802237018836185
15%,0.375,nan,0.6,inf,0.6666666666666666,0.4054651081081644
15%,0.5,nan,0.8,inf,0.7777777777777778,0.25131442828090594
15%,nan,nan,nan,nan,0.7777777777777778,0.25131442828090594
15%,nan,nan,nan,nan,0.7777777777777778,0.15403270679109896
15%,nan,nan,nan,nan,0.8888888888888888,0.11778303565638347,nan,nan,nan,nan,0.7777777777777778,0.2359819414234917
20%,nan,nan,nan,nan,0.8333333333333334,0.1823215567939546
20%,-0.6363636363636364,nan,-0.6,0.36363636363636365,0.5833333333333334,0.3390648971932464
20%,nan,nan,nan,nan,0.8333333333333334,0.1823215567939546
20%,nan,nan,nan,nan,0.75,0.28768207245178085
20%,nan,nan,nan,nan,0.6666666666666666,0.3209509929059437,nan,nan,nan,nan,0.7333333333333333,0.262468215227776
25%,-0.6428571428571428,nan,-0.2857142857142857,0.35714285714285715,0.8666666666666667,0.14310084364067321
25%,nan,nan,nan,nan,0.8,0.2231435513142098
25%,-0.5,nan,0.0,0.5,0.9333333333333333,0.022104876432421976
25%,-0.7142857142857143,nan,-0.33333333333333337,0.2857142857142857,0.8666666666666667,0.14310084364067321
25%,nan,nan,nan,nan,0.6666666666666666,0.4054651081081644,nan,nan,nan,nan,0.8266666666666668,0.18738304462722852
30%,-0.7058823529411764,nan,-0.4444444444444444,0.29411764705882354,0.7777777777777778,0.25131442828090594
30%,-0.6470588235294117,nan,-0.4,0.35294117647058826,0.7777777777777778,0.25131442828090594
30%,0.35294117647058826,nan,0.75,inf,0.8333333333333334,0.1823215567939546
30%,0.4117647058823529,nan,0.7777777777777778,inf,0.8333333333333334,0.1823215567939546
30%,nan,nan,nan,nan,0.8333333333333334,0.1823215567939546,nan,nan,nan,nan,0.8111111111111111,0.2099187053887351
35%,0.3,nan,0.6,inf,0.7619047619047619,0.27193371548364176
35%,0.55,nan,0.9090909090909091,inf,0.8571428571428571,0.11810488222542659
35%,-0.75,nan,-0.375,0.25,0.8571428571428571,0.15415067982725836
35%,nan,nan,nan,nan,0.7619047619047619,0.2311670332228079
35%,0.45,nan,0.7272727272727273,inf,0.7619047619047619,0.2311670332228079,nan,nan,nan,nan,0.8,0.2013046687963885
40%,0.21739130434782608,nan,0.5555555555555556,inf,0.7916666666666666,0.23361485118150527
40%,-0.6086956521739131,nan,-0.2727272727272727,0.391304347826087,0.8333333333333334,0.150024757040534
40%,-0.6086956521739131,nan,-0.4285714285714286,0.391304347826087,0.7083333333333334,0.30657771229307845
40%,0.34782608695652173,nan,0.6363636363636364,inf,0.75,0.25163627484994916
40%,nan,nan,nan,nan,0.8333333333333334,0.1823215567939546,nan,nan,nan,nan,0.7833333333333334,0.2248350304318043
45%,nan,nan,nan,nan,0.8148148148148148,0.17554530070304558
45%,-0.06,nan,0.34615384615384615,0.88,0.8888888888888888,0.11778303565638346
45%,0.46153846153846156,nan,0.7692307692307693,inf,0.7777777777777778,0.18786459002571967
45%,0.34615384615384615,nan,0.5833333333333334,inf,0.7037037037037037,0.280889985824735
45%,nan,nan,nan,nan,0.8888888888888888,0.09105934187207369,nan,nan,nan,nan,0.8148148148148149,0.17062845081639147
50%,0.41379310344827586,nan,0.6875,inf,0.7666666666666667,0.23777333123875027
50%,0.41379310344827586,nan,0.8,inf,0.8666666666666667,0.14310084364067324
50%,-0.07142857142857145,nan,0.23333333333333328,0.8571428571428571,0.8,0.19641985752989982
50%,0.41379310344827586,nan,0.8571428571428571,inf,0.9,0.10536051565782636
50%,-0.7241379310344828,nan,-0.46153846153846156,0.27586206896551724,0.7666666666666667,0.23777333123875027,0.08916256157635465,nan,0.42328754578754574,inf,0.8200000000000001,0.18408557586118
55%,nan,nan,nan,nan,0.8787878787878788,0.10723952992068525
55%,0.3125,nan,0.7142857142857143,inf,0.8484848484848485,0.16430305129127634
55%,-0.11290322580645162,nan,0.25,0.7741935483870968,0.8484848484848485,0.16430305129127634
55%,0.40625,nan,0.7647058823529411,inf,0.8484848484848485,0.16430305129127634
55%,0.3125,nan,0.6666666666666666,inf,0.8181818181818182,0.20067069546215105,nan,nan,nan,nan,0.8484848484848484,0.16016387585133307
60%,nan,nan,nan,nan,0.8611111111111112,0.14953173397096362
60%,-0.6857142857142857,nan,-0.3571428571428571,0.3142857142857143,0.8055555555555556,0.17102921705750207
60%,0.37142857142857144,nan,0.5789473684210527,inf,0.6944444444444444,0.31182961613307675
60%,0.4,nan,0.7368421052631579,inf,0.8333333333333334,0.1823215567939546
60%,nan,nan,nan,nan,0.8055555555555556,0.19425090691031494,nan,nan,nan,nan,0.8,0.2017926061731624
65%,-0.09459459459459457,nan,0.23684210526315785,0.8108108108108109,0.8205128205128205,0.1779744850758347
